"scenario","within_slope_mean","simulation","enrolled_n","target_complete_reached","complete_n","two_observation_n","one_or_zero_observation_n","analysis_n","total_observations","beta_posterior_mean","beta_lower_95","beta_upper_95","beta_error","beta_squared_error","beta_coverage_95","beta_interval_width_95","log_bf","bridge_logbf_difference","bridge_decision_stable","full_diagnostic_pass","null_diagnostic_pass","full_retry","null_retry","valid_simulation","strong_negative_evidence","estimated_slope_sd","slope_sd_coverage","slope_sd_interval_width"
"expected",-0.3,1,60,FALSE,46,7,7,53,152,-0.319834305204712,-0.442018625490331,-0.193712784813593,-0.0198343052047117,0.000393399662953655,TRUE,0.248305840676737,8.33434248996934,0.0116179884255132,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.163273118046454,TRUE,0.337254258680291
"expected",-0.3,2,59,TRUE,50,4,5,54,158,-0.326135485624274,-0.453236724798194,-0.189181117184594,-0.0261354856242736,0.000683063608816612,TRUE,0.2640556076136,7.47250886743021,0.00661672204634556,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.196603333687929,TRUE,0.3274959274356
"expected",-0.3,3,58,TRUE,50,6,2,56,162,-0.300020268980551,-0.397635803776161,-0.204406673902563,-2.02689805506862e-05,4.10831572564094e-10,TRUE,0.193229129873598,13.2663443409153,0.00422696791858357,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0933459775077187,TRUE,0.235166205579689
"expected",-0.3,4,56,TRUE,50,5,1,55,160,-0.26722847843054,-0.397474481541696,-0.126687234766677,0.0327715215694602,0.00107397262597759,TRUE,0.270787246775019,4.5345462463132,0.0138720590435355,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.199508271976514,TRUE,0.357124139228473
"expected",-0.3,5,57,TRUE,50,6,1,56,162,-0.293257682415653,-0.418440577320277,-0.166330664816139,0.0067423175843474,4.54588464082002e-05,TRUE,0.252109912504138,6.39123587779565,0.0415515416116534,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.232965286796862,TRUE,0.342407659017295
"expected",-0.3,6,57,TRUE,50,4,3,54,158,-0.239217620340526,-0.352572666623207,-0.129516915297092,0.060782379659474,0.00369449767706844,TRUE,0.223055751326116,5.94051361673772,0.0030053153685401,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.140789828963172,TRUE,0.315335788707423
"expected",-0.3,7,58,TRUE,50,7,1,57,164,-0.188595533064682,-0.305762513924924,-0.0724488824744811,0.111404466935318,0.0124109552531424,TRUE,0.233313631450443,2.82650611550076,0.0371582656868839,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.221141152169626,TRUE,0.353554322147348
"expected",-0.3,8,60,FALSE,47,9,4,56,159,-0.27863112402682,-0.392772568525534,-0.162615091248852,0.0213688759731802,0.000456628860357159,TRUE,0.230157477276682,7.31324155920515,0.0242089314943712,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.144546079331859,TRUE,0.330364313022361
"expected",-0.3,9,58,TRUE,50,7,1,57,164,-0.327408236569129,-0.424183221936372,-0.230428473414393,-0.0274082365691288,0.000751211431829328,TRUE,0.193754748521979,13.5817800828853,0.0667746522606194,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0847352843406516,TRUE,0.224556613340491
"expected",-0.3,10,60,FALSE,49,7,4,56,161,-0.231050912840613,-0.363478203515184,-0.0920753452250978,0.0689490871593866,0.00475397662011269,TRUE,0.271402858290086,3.25477057734224,0.0285220997016324,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.23407055306147,TRUE,0.393767121440671
