"intercept_mean","within_slope_mean","between_slope_mean","strong_negative_evidence_rate","conditional_evidence_rate","valid_simulation_rate","full_diagnostic_pass_rate","full_initial_diagnostic_pass_rate","full_retry_rate","full_retry_rescue_rate","null_diagnostic_pass_rate","null_initial_diagnostic_pass_rate","null_retry_rate","null_retry_rescue_rate","median_bridge_logbf_difference","mean_estimated_slope_sd","median_estimated_slope_sd","slope_sd_bias","slope_sd_relative_bias","slope_sd_rmse","slope_sd_coverage","mean_slope_sd_interval_width","median_slope_sd_interval_width","median_slope_sd_interval_width_ratio","slope_sd_collapse_threshold","slope_sd_collapse_rate","slope_recovery_valid_rate","random_slope_recovery_pass","total_divergences","TPR","FPR","full_divergence_pass_rate","full_rhat_pass_rate","full_bulk_ess_pass_rate","full_tail_ess_pass_rate","full_bfmi_pass_rate","full_treedepth_pass_rate","null_divergence_pass_rate","null_rhat_pass_rate","null_bulk_ess_pass_rate","null_tail_ess_pass_rate","null_bfmi_pass_rate","null_treedepth_pass_rate","bridge_attempt_rate","bridge_decision_stable_rate"
-0.3,0.5,0,0,0,1,1,1,0,NA,1,0.91,0.09,1,0.0412683721046676,0.193959160074808,0.187370310494053,-0.00604083992519214,-0.0302041996259607,0.0663508475880711,0.99,0.323577167735716,0.325036826890381,1.62518413445191,0.05,0,1,TRUE,0,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,-0.5,0,0.99,1,0.99,1,1,0,NA,0.99,0.88,0.12,0.916666666666667,0.0337303330055079,0.186481346027913,0.170659731587244,-0.0135186539720869,-0.0675932698604344,0.0721015842219902,1,0.318745912924466,0.317773642160232,1.58886821080116,0.05,0,1,TRUE,0,0.99,NA,1,1,1,1,1,1,1,0.99,1,1,1,1,0.99,1
0,-0.4,0,1,1,1,1,1,0,NA,1,0.97,0.03,1,0.0327412705679961,0.181526089407241,0.168306601632263,-0.0184739105927589,-0.0923695529637947,0.0716887183412309,0.99,0.318797161207865,0.322913960623394,1.61456980311697,0.05,0,1,TRUE,0,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,-0.3,0,0.94,0.94,1,1,0.99,0.01,1,1,1,0,NA,0.0249607779109624,0.194199311668464,0.183619912423931,-0.00580068833153621,-0.0290034416576811,0.0660563335787237,0.99,0.326881168639085,0.329015499049171,1.64507749524586,0.05,0,1,TRUE,0,0.94,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,-0.2,0,0.62,0.62,1,1,1,0,NA,1,1,0,NA,0.0298943357403658,0.18704857394184,0.188544839091373,-0.0129514260581595,-0.0647571302907977,0.0645731032754634,1,0.326732132727148,0.32943439707069,1.64717198535345,0.05,0,1,TRUE,0,0.62,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,-0.1,0,0.05,0.0505050505050505,0.99,1,1,0,NA,1,1,0,NA,0.0240582310766229,0.180693468629612,0.170254371709178,-0.0193065313703878,-0.0965326568519391,0.0690502326683265,0.98,0.319964155498835,0.30917063802956,1.5458531901478,0.05,0,1,TRUE,0,0.05,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99
0,0,0,0,0,1,1,1,0,NA,1,1,0,NA,0.0304335467102419,0.191471274664023,0.187044532508915,-0.0085287253359774,-0.042643626679887,0.0644357651374495,0.97,0.329436254849982,0.334566065448141,1.67283032724071,0.05,0,1,TRUE,0,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0.1,0,0,0,1,1,1,0,NA,1,1,0,NA,0.0288088656343319,0.186804927864212,0.186985137670363,-0.0131950721357881,-0.0659753606789405,0.0677383793106794,0.98,0.323301653143011,0.319372946473359,1.59686473236679,0.05,0,1,TRUE,0,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0.2,0,0,0,1,1,1,0,NA,1,1,0,NA,0.0225850726178578,0.176449312851285,0.16577397845225,-0.0235506871487148,-0.117753435743574,0.0677069940303776,1,0.322191947372872,0.31669029537722,1.5834514768861,0.05,0,1,TRUE,0,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0.3,0,0,0,1,1,0.99,0.01,1,1,1,0,NA,0.0289996475222694,0.178732816045396,0.16787257711164,-0.0212671839546036,-0.106335919773018,0.0705039151332759,1,0.314507700917113,0.312277906092828,1.56138953046414,0.05,0,1,TRUE,0,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0.4,0,0,0,1,1,1,0,NA,1,0.96,0.04,1,0.0325084075790727,0.187665460330621,0.17935975852806,-0.0123345396693792,-0.0616726983468961,0.0676295394513435,0.98,0.325800367564193,0.325069131051813,1.62534565525907,0.05,0,1,TRUE,0,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0.5,0,0,0,1,1,1,0,NA,1,0.89,0.11,1,0.0376163700980641,0.181770575143555,0.173246037112974,-0.0182294248564448,-0.0911471242822241,0.0618384542321871,0.99,0.320273549987199,0.321459780520002,1.60729890260001,0.05,0,1,TRUE,0,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
