"Id","date","daytime_medi_dose","n_valid","log_mean_dose","log_mean_dose_standardised"
"BAUA_S001",2025-06-10,1797.35277777778,1740,3.25465748953062,-0.43414226994479
"BAUA_S001",2025-06-11,4050.68894444444,2844,3.60753961601722,0.126570026343366
"BAUA_S001",2025-06-12,3320.12747222222,3120,3.52116783868799,-0.0106704683309965
"BAUA_S001",2025-06-13,4617.27275,2904,3.66439493557209,0.216910325244904
"BAUA_S002",2025-06-10,1094.20702777778,420,3.039139188325,-0.776590222081909
"BAUA_S002",2025-06-11,8996.22419444444,3600,3.95406509742182,0.677181927079893
"BAUA_S002",2025-06-12,5993.30733333333,3210,3.77767379490112,0.396904846270027
"BAUA_S002",2025-06-13,7538.11530555556,2790,3.87726853755499,0.555155980742843
"BAUA_S002",2025-06-14,14939.2935555556,2040,4.174332968241,1.02717671110367
"BAUA_S002",2025-06-15,3235.10997222222,1980,3.50990247258376,-0.0285705795089693
"BAUA_S002",2025-06-16,2442.06361111111,3030,3.38777475585068,-0.222625498559772
"BAUA_S003",2025-06-11,3640.34955555556,1824,3.56115501756159,0.0528671868955118
"BAUA_S003",2025-06-12,613.889583333333,2742,2.78816100316197,-1.17538218109132
"BAUA_S003",2025-06-13,1222.3275,2430,3.08722311132644,-0.700187239734474
"BAUA_S003",2025-06-14,1953.93272222222,2040,3.29093183213688,-0.376504128445238
"BAUA_S003",2025-06-15,167.025277777778,2340,2.22304214210852,-2.073328181961
"BAUA_S003",2025-06-16,182.375972222222,2790,2.26120568622646,-2.01268819242705
"BAUA_S004",2025-06-11,6073.73969444444,3150,3.78346332549187,0.406104124862839
"BAUA_S004",2025-06-12,7434.1085,3750,3.87123473716456,0.545568569484729
"BAUA_S004",2025-06-13,5996.52819444444,3966,3.77790712235673,0.397275592090237
"BAUA_S004",2025-06-14,21742.0252777778,4680,4.33730199381186,1.28612645577188
"BAUA_S004",2025-06-15,1744.46513888889,2586,3.24168718985283,-0.454751436490813
"BAUA_S004",2025-06-16,5579.06808333333,3558,3.74656944557681,0.347481569132625
"BAUA_S005",2025-06-11,3240.10913888889,3090,3.51057304259368,-0.0275050768329679
"BAUA_S005",2025-06-12,14704.5865277778,3864,4.1674557707195,1.01624918339717
"BAUA_S005",2025-06-13,1694.71969444444,2280,3.22912350202405,-0.474714516861203
"BAUA_S005",2025-06-14,8010.61541666667,3408,3.90367130355442,0.597108673839816
"BAUA_S005",2025-06-15,209.634916666667,2808,2.32167073782504,-1.91661220732524
"BAUA_S005",2025-06-16,2831.52022222222,3240,3.45203500521359,-0.120519131374038
"BAUA_S006",2025-06-11,6476.01752777778,3240,3.81131472167525,0.450358619881608
"BAUA_S006",2025-06-12,9469.53458333333,4020,3.97633322066074,0.712564876734033
"BAUA_S006",2025-06-13,19174.8335277778,4050,4.28273386708937,1.19942039348603
"BAUA_S006",2025-06-14,2748.26247222222,3450,3.43907400979389,-0.141113513912806
"BAUA_S007",2025-06-25,7555.3795,3636,3.87826203156001,0.556734593721769
"BAUA_S007",2025-06-26,1061.69777777778,3612,3.02604181207704,-0.797401307031048
"BAUA_S007",2025-06-27,7027.93922222222,4224,3.84683417654937,0.506797282002763
"BAUA_S007",2025-06-28,7215.549,2928,3.85827539910835,0.524976820414802
"BAUA_S007",2025-06-29,21415.5751666667,2400,4.33073177084258,1.27568669549014
"BAUA_S007",2025-06-30,3614.46658333333,3492,3.55805622922351,0.0479433650458335
"BAUA_S009",2025-06-25,45660.8880555556,4860,4.65954530492979,1.79815518541993
"BAUA_S009",2025-06-26,2786.94186111111,2502,3.44514349182526,-0.131469406286912
"BAUA_S009",2025-06-27,2114.21244444444,4026,3.32516916597593,-0.322102693419857
"BAUA_S009",2025-06-28,4032.33877777778,3444,3.60556778246519,0.12343688007193
"BAUA_S009",2025-06-29,105058.420666667,3480,5.02143128119175,2.3731741549682
"BAUA_S009",2025-06-30,11927.8548333333,3330,4.07656598593863,0.871829797691755
"BAUA_S011",2025-06-26,246.873083333333,3541,2.39264962371799,-1.80383025802885
"BAUA_S011",2025-06-27,165.014222222222,2761,2.21778448311506,-2.08168234281542
"BAUA_S011",2025-06-28,424.067138888889,3055,2.62753701978632,-1.4306057693592
"BAUA_S011",2025-06-29,435.058027777778,2665,2.63864699977937,-1.4129525590489
"BAUA_S011",2025-06-30,287.6465,3331,2.4590100497999,-1.69838681360873
"BAUA_S012",2025-07-15,4108.16872222222,2813,3.613658843095,0.13629317639478
"BAUA_S012",2025-07-16,2974.78275,2880,3.47346985341533,-0.0864602146602558
"BAUA_S012",2025-07-17,43197.4015833333,2244,4.63545862922349,1.75988264557867
"BAUA_S012",2025-07-18,23666.8766666667,3138,4.37414278260819,1.34466465233265
"BAUA_S012",2025-07-19,3634.15866666667,2472,3.56041583477942,0.0516926619081064
"BAUA_S012",2025-07-20,48597.5410833333,2046,4.68661518923442,1.84116789660432
"BAUA_S013",2025-07-15,9731.215,2398,3.98817153077766,0.731375367692928
"BAUA_S013",2025-07-18,7774.86636111111,1963,3.89069851870011,0.576495558470842
"BAUA_S013",2025-07-19,10816.2435833333,2653,4.0340804742684,0.804322414858925
"BAUA_S013",2025-07-20,4052.40147222222,2215,3.60772318129424,0.126861702515869
"BAUA_S013",2025-07-21,2862.59463888889,1453,3.45677502468302,-0.112987474195422
"BAUA_S014",2025-07-16,3822.54872222222,3607,3.58236439087546,0.0865678351319567
"BAUA_S014",2025-07-17,4027.52022222222,3463,3.60504851273333,0.122611786076267
"BAUA_S014",2025-07-18,26088.9415555556,3751,4.41645812452838,1.41190164382475
"BAUA_S014",2025-07-19,6852.10475,3913,3.8358303315945,0.489312715033964
"BAUA_S014",2025-07-20,21600.4646666667,2161,4.33446510431816,1.28161877827014
"BAUA_S014",2025-07-21,12047.5550833333,3085,4.0809025254611,0.878720345132614
"BAUA_S015",2025-07-22,5949.33530555556,366,3.77447574634711,0.391823304832352
"BAUA_S015",2025-07-23,17029.8950833333,3090,4.23121452257907,1.11755869578192
"BAUA_S015",2025-07-24,1545.31552777778,3090,3.18904527156523,-0.538396848566328
"BAUA_S015",2025-07-25,9681.04016666667,3060,3.98592650802453,0.727808137253517
"BAUA_S015",2025-07-26,5851.52816666667,2070,3.76727672170901,0.380384409708776
"BAUA_S015",2025-07-27,505.028,360,2.70340144277182,-1.31006094255742
"BAUA_S015",2025-07-28,17490.4686388889,3750,4.24280392913089,1.13597369125076
"BAUA_S016",2025-07-23,693.598055555556,3180,2.8411704771683,-1.09115274110509
"BAUA_S016",2025-07-24,962.010916666667,3108,2.98322514243232,-0.865434883553976
"BAUA_S016",2025-07-25,1139.80877777778,3390,3.05687009792165,-0.748416681148569
"BAUA_S016",2025-07-26,879.9165,2940,2.94449081509536,-0.926981819474255
"BAUA_S016",2025-07-27,2309.2415,2454,3.36348816011468,-0.261215701468991
"BAUA_S016",2025-07-28,876.955722222222,3090,2.94302718639325,-0.929307453301744
"BAUA_S018",2025-09-09,2934.34402777778,2820,3.4675258301014,-0.0959049745712534
"BAUA_S018",2025-09-10,2093.505,3090,3.32089474682604,-0.328894534652206
"BAUA_S018",2025-09-11,6320.79555555556,3660,3.80077861424476,0.433617264772161
"BAUA_S018",2025-09-12,2036.50166666667,3060,3.30890609483952,-0.347943911427648
"BAUA_S022",2025-09-24,2047.47819444444,3420,3.31124049591099,-0.344234663248171
"BAUA_S022",2025-09-27,5012.10125,2700,3.70002850047251,0.273530302570407
"BAUA_S022",2025-09-28,27113.7072777778,2160,4.4331905048042,1.43848857091066
"BAUA_S022",2025-09-29,28680.0121111111,2880,4.45758084466458,1.47724361811728
"BAUA_S024",2025-10-14,216.563055555556,2910,2.33578486362151,-1.89418555748544
"BAUA_S024",2025-10-15,209.717694444444,2460,2.32184211052838,-1.91633990455103
"BAUA_S024",2025-10-16,362.758416666667,2070,2.55973720119321,-1.5383363374947
"BAUA_S024",2025-10-17,230.622805555556,2160,2.3630905240288,-1.85079820970143
"BAUA_S024",2025-10-18,2850.15336111111,2028,3.45488346647934,-0.115993066897181
"BAUA_S024",2025-10-19,4839.60744444444,2412,3.68481910976352,0.249363330798585
"BAUA_S025",2025-10-15,1589.44747222222,3450,3.2012735027549,-0.518966792252144
